ΛΑΡΙΣΑΣ,519
ΜΕΣΣΗΝΙΑΣ,450
ΗΛΕΙΑΣ,425
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,293
ΑΧΑΙΑΣ,264
ΚΙΛΚΙΣ,260
ΡΟΔΟΠΗΣ,249
ΚΑΡΔΙΤΣΑΣ,217
ΗΡΑΚΛΕΙΟΥ,211
ΠΕΛΛΑΣ,211
ΘΕΣΣΑΛΟΝΙΚΗΣ,198
ΕΥΒΟΙΑΣ,195
ΕΒΡΟΥ,180
ΚΕΡΚΥΡΑΣ,170
ΚΑΒΑΛΑΣ,160
ΚΕΦΑΛΛΟΝΙΑΣ,140
ΛΑΚΩΝΙΑΣ,137
ΠΙΕΡΙΑΣ,130
ΗΜΑΘΙΑΣ,128
ΑΡΤΑΣ,117
ΞΑΝΘΗΣ,115
ΑΡΚΑΔΙΑΣ,113
ΡΕΘΥΜΝΟΥ,109
ΔΡΑΜΑΣ,105
ΒΟΙΩΤΙΑΣ,102
ΦΘΙΩΤΙΔΑΣ,99
ΛΕΣΒΟΥ,94
ΜΑΓΝΗΣΙΑΣ,93
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,92
ΚΥΚΛΑΔΩΝ,92
ΣΑΜΟΥ,84
ΤΡΙΚΑΛΩΝ,82
ΚΟΖΑΝΗΣ,74
ΘΕΣΠΡΩΤΙΑΣ,73
ΚΟΡΙΝΘΙΑΣ,71
ΣΕΡΡΩΝ,70
ΙΩΑΝΝΙΝΩΝ,69
ΔΩΔΕΚΑΝΗΣΩΝ,64
ΧΑΝΙΩΝ,59
ΖΑΚΥΝΘΟΥ,58
ΚΑΣΤΟΡΙΑΣ,56
ΠΡΕΒΕΖΗΣ,42
ΓΡΕΒΕΝΩΝ,39
ΛΑΣΙΘΙΟΥ,33
ΦΛΩΡΙΝΑΣ,32
ΛΕΥΚΑΔΟΣ,27
ΦΩΚΙΔΟΣ,25
ΧΙΟΥ,20
ΠΕΙΡΑΙΩΣ - ΝΗΣΩΝ ΑΤΤΙΚΗΣ,14
ΧΑΛΚΙΔΙΚΗΣ,11
ΑΤΤΙΚΗΣ,9
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,7
ΕΥΡΥΤΑΝΙΑΣ,3
ΑΡΓΟΛΙΔΟΣ,1
